skill_python,skill_javascript,skill_react,skill_nodejs,skill_mongodb,skill_design,skill_testing,skill_devops,skill_ml,skill_java,role_PM,role_Developer,role_Designer,role_QA,role_BusinessAnalyst,availability_overlap,team_size,avg_skill_level,skill_diversity,roles_covered,max_skill_gap,workload_balance_score,success_score,full_role_coverage,core_skills_present,high_availability,skill_role_alignment,success_label
-0.8758088,1.2351682,0.5322883,-0.90411985,-1.662531,-0.21955173,0.6150385,-0.21353209,0.0,0.0,0.5151504,0.50773394,-1.8817879,0.48835316,0.4868555,-1.2744145,1.3259393,-0.2414595,-0.005231433,0.023480583,-1.3106319,-0.17842004,92.6500015258789,-0.66999626,1.5949668,-0.90793604,0.25892997,1
0.58364064,-0.9159521,-0.9371077,1.3702728,1.4096859,0.5092766,0.6150385,-0.21353209,0.0,0.0,0.5151504,0.50773394,-1.8817879,0.48835316,0.4868555,0.9537941,1.3259393,0.75673145,0.9093975,0.023480583,-1.5728009,-1.3705164,100.0,-0.66999626,1.5949668,1.1013992,0.37480754,1
-0.8758088,1.2351682,1.2669863,-0.90411985,-0.63845885,-1.6772084,0.6150385,-0.95279,0.0,0.0,0.5151504,0.50773394,0.5314095,0.48835316,-2.0539975,-1.6242565,-0.48987058,-0.49100694,-0.005231433,0.023480583,-0.027627546,-0.99873245,92.22000122070312,-0.66999626,-0.6269723,-0.90793604,0.5196545,1
-0.8758088,0.5181281,0.5322883,-0.90411985,-0.63845885,-0.21955173,-0.9229243,1.2649839,0.0,0.0,0.5151504,0.50773394,0.5314095,0.48835316,0.4868555,-0.8421058,0.4180344,-0.49100694,-0.005231433,1.2550372,1.4607038,-0.66446793,87.01000213623047,1.4925456,-0.6269723,-0.90793604,0.22996022,1
-0.14608407,1.2351682,1.2669863,1.3702728,1.4096859,-1.6772084,-2.460887,0.5257259,0.0,0.0,0.5151504,-1.9695354,0.5314095,0.48835316,0.4868555,1.4989027,-0.48987058,0.50718343,-0.91986036,0.023480583,-0.39884028,1.3274759,94.2300033569336,-0.66999626,-0.6269723,1.1013992,-1.9717159,1
-0.14608407,1.2351682,0.5322883,0.61214185,-0.63845885,1.238105,0.6150385,-0.95279,0.0,0.0,0.5151504,0.50773394,0.5314095,-2.0476985,0.4868555,-0.6718066,1.3259393,1.0062789,0.9093975,0.023480583,-1.2619101,0.39119413,100.0,-0.66999626,1.5949668,-0.90793604,0.69347125,1
-0.8758088,-0.19891198,0.5322883,-0.90411985,-0.63845885,1.238105,-0.1539429,0.5257259,0.0,0.0,0.5151504,-1.9695354,0.5314095,0.48835316,0.4868555,-0.4923929,1.3259393,0.00808854,0.9093975,0.023480583,-0.89765763,1.6873219,98.01000213623047,-0.66999626,1.5949668,-0.90793604,-0.0017953024,1
1.3133653,-1.6329923,-0.9371077,1.3702728,-0.63845885,0.5092766,-0.9229243,1.2649839,0.0,0.0,0.5151504,-1.9695354,0.5314095,0.48835316,0.4868555,-1.0548981,-0.48987058,0.25763598,-0.005231433,0.023480583,1.698512,1.1876305,76.86000061035156,-0.66999626,-0.6269723,-0.90793604,-0.5522142,1
-0.8758088,1.2351682,0.5322883,-0.90411985,-0.63845885,-0.94838005,0.6150385,0.5257259,0.0,0.0,0.5151504,0.50773394,0.5314095,0.48835316,0.4868555,0.8431521,1.3259393,0.00808854,0.9093975,1.2550372,1.6741513,-0.763383,100.0,1.4925456,-0.6269723,1.1013992,0.8672877,1
0.58364064,-0.9159521,-0.9371077,1.3702728,0.3856135,-0.94838005,1.3840199,-0.21353209,0.0,0.0,0.5151504,0.50773394,0.5314095,0.48835316,0.4868555,0.55838037,0.4180344,0.25763598,0.9093975,1.2550372,-0.17843276,0.43553534,98.8499984741211,1.4925456,-0.6269723,1.1013992,1.1859514,1
